,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
6,Sao Miguel Do Araguaia,BR,76.98,-13.275,-50.1628,clear sky,Hotel Executivo Palace
10,Itarema,BR,78.01,-2.9248,-39.9167,few clouds,"Sea Lounge! Bar, Club & Restaurant"
18,Atuona,PF,76.98,-9.8,-139.0333,clear sky,Villa Enata
29,Mahebourg,MU,77.29,-20.4081,57.7,scattered clouds,Shandrani Beachcomber Resort & Spa
32,Hilo,US,77.29,19.7297,-155.09,overcast clouds,Hilo Hawaiian Hotel
37,Souillac,MU,77.38,-20.5167,57.5167,scattered clouds,Shanti Maurice Resort & Spa
38,Finschhafen,PG,85.39,-6.6024,147.8681,broken clouds,Oasis Gagidu Ltd
40,Manggar,ID,83.98,-2.8833,108.2667,moderate rain,Guest Hotel
55,Myitkyina,MM,89.76,25.3833,97.4,clear sky,Shwe Phyu Hotel
62,Tual,ID,84.33,-5.6667,132.75,broken clouds,Grand Vilia Hotel
64,Port-Gentil,GA,76.96,-0.7193,8.7815,thunderstorm with light rain,Fengshui Residence
72,Kavaratti,IN,80.62,10.5669,72.642,moderate rain,Green leaf
81,Sur,OM,89.1,22.5667,59.5289,scattered clouds,Sur Plaza Hotel
91,Barreirinhas,BR,77.83,-2.7469,-42.8264,few clouds,Gran Lençóis Flat Residence
93,Padang,ID,80.65,-0.9492,100.3543,overcast clouds,Mercure Padang
101,Hithadhoo,MV,80.74,-0.6,73.0833,overcast clouds,Scoop Guest House
103,Hambantota,LK,89.94,6.1241,81.1185,overcast clouds,Bungalow 63
105,Victoria,HK,81.97,22.2855,114.1577,broken clouds,Mini Central
107,Vaini,TO,75.4,-21.2,-175.2,light rain,Keleti Beach Resort
112,Samarai,PG,84.61,-10.6167,150.6667,overcast clouds,Nuli Sapi
113,Phuket,TH,85.08,8.0,98.25,moderate rain,The Surin
115,Bambous Virieux,MU,77.22,-20.3428,57.7575,few clouds,Casa Tia Villa
121,Ocos,GT,79.39,14.5094,-92.1933,overcast clouds,Auto Hotel El Soñador
131,Kavieng,PG,85.19,-2.5744,150.7967,broken clouds,Nusa Island Retreat
133,Touros,BR,75.2,-5.1989,-35.4608,broken clouds,INN NEW HORIZON
137,Kinablangan,PH,85.3,7.6947,126.5503,overcast clouds,Morales Eatery and Lodging House
142,Dingle,PH,84.54,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
145,Nishihara,JP,80.26,26.1842,127.7558,few clouds,Minshuku Agaihama
147,Ugoofaaru,MV,81.43,5.6667,73.0,overcast clouds,Ungoofaaru Inn
150,Port Hedland,AU,87.85,-20.3167,118.5667,clear sky,The Esplanade Hotel
152,Alyangula,AU,87.96,-13.8483,136.4192,scattered clouds,Groote Eylandt Lodge
158,Olinda,BR,78.53,-8.0089,-34.8553,scattered clouds,Flat Quatro Rodas Olinda
159,Saint-Philippe,RE,76.59,-21.3585,55.7679,light rain,Le four à pain
160,Cabo San Lucas,MX,76.6,22.8909,-109.9124,scattered clouds,Hotel Tesoro Los Cabos
164,Takoradi,GH,75.63,4.8845,-1.7554,light rain,Raybow International Hotel
168,Kut Chap,TH,81.25,17.4257,102.5669,scattered clouds,ผึ้งหลวง รีสอร์ต
169,Karratha,AU,87.4,-20.7377,116.8463,clear sky,ibis Styles Karratha
173,Pind Dadan Khan,PK,82.4,32.5879,73.0456,scattered clouds,Bata shoes frenchis
174,Upata,VE,76.19,8.0086,-62.3989,broken clouds,Posada Villa Nela
181,Nkhotakota,MW,79.77,-12.9274,34.2961,broken clouds,Sitima Inn
186,Dungarpur,IN,85.71,23.8333,73.7167,few clouds,Gayatri Hotel
188,Dhidhdhoo,MV,81.23,6.8833,73.1,overcast clouds,Dhidhoo beach
200,Road Town,VG,82.49,18.4167,-64.6167,clear sky,"ZINGARA 76ft Catamaran, full crew-all included"
201,Bathsheba,BB,81.21,13.2167,-59.5167,few clouds,Atlantis Hotel
202,The Valley,AI,82.26,18.217,-63.0578,clear sky,CeBlue Villas & Beach Resort
207,Les Cayes,HT,76.66,18.2,-73.75,scattered clouds,Villa Orphee
209,Avarua,CK,75.25,-21.2078,-159.775,overcast clouds,Paradise Inn
220,Noumea,NC,78.78,-22.2763,166.4572,overcast clouds,Hôtel Le Lagon
221,Maumere,ID,86.47,-8.6199,122.2111,overcast clouds,Sylvia Hotel
223,Ambon,ID,87.94,-3.6954,128.1814,few clouds,Swiss-Belhotel Ambon
228,Iralaya,HN,79.21,15.0,-83.2333,light rain,Iglesia morava renovada
230,Riyadh,SA,86.14,24.6877,46.7219,clear sky,"InterContinental Riyadh, an IHG Hotel"
233,Auki,SB,82.47,-8.7676,160.7034,broken clouds,Auki Motel
236,Port Blair,IN,82.27,11.6667,92.75,scattered clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
237,Perbaungan,ID,86.11,3.5679,98.956,overcast clouds,Hotel Bidadari
239,Manali,IN,89.69,13.1667,80.2667,overcast clouds,Sarathy Lodge
242,Alofi,NU,78.33,-19.0595,-169.9187,broken clouds,Taloa Heights
245,Sao Filipe,CV,78.08,14.8961,-24.4956,broken clouds,Hotel Xaguate
246,Fayaoue,NC,75.42,-20.65,166.5333,broken clouds,Chez Dydyce Guesthouse
248,Coxim,BR,77.18,-18.5067,-54.76,scattered clouds,Rancho Da Curica
263,Bhusawal,IN,84.0,21.05,75.7667,few clouds,Ganesh Park (Udita Construction)
265,Cap Malheureux,MU,77.47,-19.9842,57.6142,broken clouds,Pereybere Hotel & Spa
