City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Weather Description
0,Ushuaia,AR,-54.8,-68.3,35.26,87,20,17.27,few clouds
1,Shache,CN,38.4167,77.2406,65.73,20,99,3.29,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,70.97,72,100,18.86,overcast clouds
3,Concepcion,CL,-36.827,-73.0498,51.6,82,100,6.91,overcast clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,66.9,81,64,9.57,broken clouds
5,Hermanus,ZA,-34.4187,19.2345,61.75,79,10,9.44,clear sky
6,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,76.98,39,3,0.76,clear sky
7,Albany,US,42.6001,-73.9662,41.72,82,60,6.71,broken clouds
8,New Norfolk,AU,-42.7826,147.0587,60.91,55,9,3.0,clear sky
9,Poum,NC,-20.2333,164.0167,76.32,74,52,12.66,broken clouds
10,Itarema,BR,-2.9248,-39.9167,78.01,81,14,17.4,few clouds
11,Husavik,IS,66.0449,-17.3389,30.36,75,59,8.79,broken clouds
12,San Patricio,US,28.017,-97.5169,65.84,47,0,7.25,clear sky
13,Khatanga,RU,71.9667,102.5,24.31,96,100,1.9,light snow
14,Vyazma,RU,55.2104,34.2951,39.6,87,99,10.07,overcast clouds
15,Gualaquiza,EC,-3.4,-78.55,64.02,98,100,1.52,overcast clouds
16,Yokadouma,CM,3.5167,15.05,69.46,99,100,1.3,moderate rain
17,Portland,US,45.5234,-122.6762,65.03,75,100,4.0,haze
18,Atuona,PF,-9.8,-139.0333,76.98,74,7,14.72,clear sky
19,Jamestown,US,42.097,-79.2353,38.01,98,100,14.97,overcast clouds
20,Raudeberg,NO,61.9875,5.1352,36.27,66,99,5.48,overcast clouds
21,Thessalon,CA,46.2501,-83.5666,32.29,91,100,9.53,light snow
22,Punta Arenas,CL,-53.15,-70.9167,37.51,81,40,17.27,light intensity shower rain
23,Hasaki,JP,35.7333,140.8333,66.6,46,0,8.21,clear sky
24,Lebu,CL,-37.6167,-73.65,49.24,87,43,1.39,scattered clouds
25,Henties Bay,NA,-22.116,14.2845,59.54,86,96,5.48,overcast clouds
26,Gornopravdinsk,RU,60.05,69.9,41.0,83,100,7.94,light rain
27,Mataura,NZ,-46.1927,168.8643,46.78,80,55,12.01,broken clouds
28,La Suiza,CR,9.8524,-83.6133,71.6,98,98,0.31,overcast clouds
29,Mahebourg,MU,-20.4081,57.7,77.29,61,40,9.22,scattered clouds
30,Lompoc,US,34.6391,-120.4579,72.59,41,81,4.38,broken clouds
31,Geraldton,AU,-28.7667,114.6,73.81,46,75,13.8,broken clouds
32,Hilo,US,19.7297,-155.09,77.29,94,98,2.95,overcast clouds
33,Lavrentiya,RU,65.5833,-171.0,35.46,98,100,25.61,light rain
34,Pevek,RU,69.7008,170.3133,28.6,90,100,6.91,overcast clouds
35,Zeya,RU,53.75,127.2667,43.03,35,59,7.29,broken clouds
36,Qaanaaq,GL,77.484,-69.3632,-0.62,62,0,12.75,clear sky
37,Souillac,MU,-20.5167,57.5167,77.38,61,40,9.22,scattered clouds
38,Finschhafen,PG,-6.6024,147.8681,85.39,65,64,7.29,broken clouds
39,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.08,89,100,20.62,overcast clouds
40,Manggar,ID,-2.8833,108.2667,83.98,71,94,1.57,moderate rain
41,Kapaa,US,22.0752,-159.319,70.48,82,82,3.0,light rain
42,Chokurdakh,RU,70.6333,147.9167,2.88,97,100,6.53,overcast clouds
43,Aykhal,RU,66.0,111.5,24.6,88,57,14.23,broken clouds
44,Tasiilaq,GL,65.6145,-37.6368,33.96,98,100,6.22,snow
45,Cidreira,BR,-30.1811,-50.2056,62.89,94,84,5.64,broken clouds
46,Klaksvik,FO,62.2266,-6.589,43.72,72,59,16.64,broken clouds
47,Busselton,AU,-33.65,115.3333,64.27,65,97,15.9,overcast clouds
48,Hamilton,US,39.1834,-84.5333,39.63,57,7,1.99,clear sky
49,Jackson,US,42.4165,-122.8345,61.79,57,0,1.88,clear sky
50,Norman Wells,CA,65.282,-126.8329,32.59,94,100,7.45,overcast clouds
51,Port Elizabeth,ZA,-33.918,25.5701,70.11,85,40,15.01,scattered clouds
52,Awjilah,LY,29.1081,21.2869,69.58,57,64,5.3,broken clouds
53,Santa Maria,BR,-29.6842,-53.8069,60.4,96,95,6.04,overcast clouds
54,Bilibino,RU,68.0546,166.4372,5.85,97,37,4.56,scattered clouds
55,Myitkyina,MM,25.3833,97.4,89.76,44,0,1.19,clear sky
56,Saskylakh,RU,71.9167,114.0833,3.04,93,48,2.1,scattered clouds
57,Martano,IT,40.2034,18.3028,64.74,87,0,12.28,clear sky
58,Esperance,AU,-33.8667,121.9,65.75,74,88,19.82,overcast clouds
59,Tuktoyaktuk,CA,69.4541,-133.0374,27.14,83,100,5.32,overcast clouds
60,Kruisfontein,ZA,-34.0033,24.7314,67.89,67,38,23.62,scattered clouds
61,Kropotkin,RU,45.4375,40.5756,55.53,89,95,5.91,overcast clouds
62,Tual,ID,-5.6667,132.75,84.33,71,78,4.45,broken clouds
63,Leh,IN,34.1667,77.5833,36.05,49,86,4.16,overcast clouds
64,Port-Gentil,GA,-0.7193,8.7815,76.96,100,75,3.44,thunderstorm with light rain
65,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,100,100,13.8,heavy intensity rain
66,Fortuna,US,40.5982,-124.1573,54.09,86,1,3.38,clear sky
67,Yellowknife,CA,62.456,-114.3525,45.12,93,75,13.8,broken clouds
68,Bluff,NZ,-46.6,168.3333,48.47,58,42,24.54,scattered clouds
69,Hobart,AU,-42.8794,147.3294,61.27,70,40,13.8,scattered clouds
70,Tromso,NO,69.6496,18.957,37.42,87,75,3.44,light intensity shower rain
71,Altay,CN,47.8667,88.1167,41.67,48,99,5.1,light rain
72,Kavaratti,IN,10.5669,72.642,80.62,80,62,9.31,moderate rain
73,Nuuk,GL,64.1835,-51.7216,27.21,80,20,11.01,few clouds
74,Palmer,US,42.1584,-72.3287,43.34,70,1,6.85,clear sky
75,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,41,0,23.02,clear sky
76,Gisborne,NZ,-38.6533,178.0042,58.57,69,52,5.32,broken clouds
77,Grande Prairie,CA,55.1667,-118.8027,55.58,38,75,12.66,smoke
78,Torbay,CA,47.6666,-52.7314,56.28,95,100,11.5,overcast clouds
79,Puro,PH,12.4841,123.3827,84.92,70,79,1.95,light rain
80,Tuatapere,NZ,-46.1333,167.6833,46.94,76,60,16.15,light rain
81,Sur,OM,22.5667,59.5289,89.1,29,41,3.24,scattered clouds
82,Barrow,US,71.2906,-156.7887,28.42,93,100,19.57,overcast clouds
83,Kartaly,RU,53.0522,60.6467,42.31,88,100,3.27,overcast clouds
84,Thompson,CA,55.7435,-97.8558,33.84,93,79,5.86,broken clouds
85,Port Alfred,ZA,-33.5906,26.891,68.18,80,61,14.0,broken clouds
86,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,48,75,8.95,broken clouds
87,Leningradskiy,RU,69.3833,178.4167,32.85,91,100,22.73,overcast clouds
88,Waipawa,NZ,-41.4122,175.5153,55.45,65,18,16.75,few clouds
89,Rio Grande,BR,-32.035,-52.0986,61.12,94,58,6.91,broken clouds
90,Vilyuysk,RU,63.7553,121.6247,23.9,85,99,6.33,overcast clouds
91,Barreirinhas,BR,-2.7469,-42.8264,77.83,83,18,10.87,few clouds
92,Coquimbo,CL,-29.9533,-71.3436,56.57,79,0,3.74,clear sky
93,Padang,ID,-0.9492,100.3543,80.65,67,100,6.87,overcast clouds
94,Suez,EG,29.9737,32.5263,71.38,77,0,9.04,clear sky
95,Maniwaki,CA,46.3834,-75.966,39.34,94,100,7.76,overcast clouds
96,Egvekinot,RU,66.3167,-179.1667,29.61,99,100,5.61,snow
97,Hare Bay,CA,48.8499,-54.0148,52.95,96,93,5.66,overcast clouds
98,Elizabeth City,US,36.2946,-76.2511,41.02,90,0,3.96,clear sky
99,Surab,PK,28.4914,66.2585,66.72,15,2,7.36,clear sky
100,Francisco Sa,BR,-16.4758,-43.4883,68.4,68,4,11.5,clear sky
101,Hithadhoo,MV,-0.6,73.0833,80.74,75,91,9.01,overcast clouds
102,Cascas,PE,-7.4833,-78.8167,67.12,56,96,0.54,overcast clouds
103,Hambantota,LK,6.1241,81.1185,89.94,62,97,14.97,overcast clouds
104,Komsomolskiy,UZ,40.4272,71.7189,52.52,54,7,4.61,clear sky
105,Victoria,HK,22.2855,114.1577,81.97,68,62,11.99,broken clouds
106,Nome,US,64.5011,-165.4064,37.47,87,75,12.66,broken clouds
107,Vaini,TO,-21.2,-175.2,75.4,79,98,10.63,light rain
108,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,89,97,15.95,light rain
109,Emirdag,TR,39.0197,31.15,53.44,87,35,6.24,scattered clouds
110,Chuy,UY,-33.6971,-53.4616,57.36,98,55,6.02,broken clouds
111,Kandi,BJ,11.1342,2.9386,70.79,64,27,3.2,scattered clouds
112,Samarai,PG,-10.6167,150.6667,84.61,72,90,12.71,overcast clouds
113,Phuket,TH,8.0,98.25,85.08,94,40,11.5,moderate rain
114,Maraa,BR,-1.8333,-65.3667,73.45,98,98,2.17,overcast clouds
115,Bambous Virieux,MU,-20.3428,57.7575,77.22,62,20,9.26,few clouds
116,Bredasdorp,ZA,-34.5322,20.0403,64.09,66,14,12.64,few clouds
117,Arraial Do Cabo,BR,-22.9661,-42.0278,70.99,90,100,26.64,overcast clouds
118,Ndende,GA,-2.4008,11.3581,74.23,96,100,1.21,light rain
119,Narsaq,GL,60.9167,-46.05,20.93,71,5,5.68,clear sky
120,Vardo,NO,70.3705,31.1107,31.98,86,40,23.02,light snow
121,Ocos,GT,14.5094,-92.1933,79.39,85,97,2.21,overcast clouds
122,Iskateley,RU,67.6803,53.1512,33.3,99,100,9.08,light snow
123,Flinders,AU,-34.5833,150.8552,70.18,89,100,3.0,light rain
124,East London,ZA,-33.0153,27.9116,72.99,66,53,18.88,broken clouds
125,Hervey Bay,AU,-25.2986,152.8535,74.01,84,92,8.99,overcast clouds
126,Vicuna,CL,-30.0319,-70.7081,57.94,56,0,1.7,clear sky
127,Codrington,AU,-38.2667,141.9667,63.79,74,1,12.19,clear sky
128,Bethel,US,41.3712,-73.414,46.71,77,4,1.01,clear sky
129,Cape Town,ZA,-33.9258,18.4232,67.37,75,20,8.05,few clouds
130,Provideniya,RU,64.3833,-173.3,35.8,99,100,4.9,moderate rain
131,Kavieng,PG,-2.5744,150.7967,85.19,67,70,7.2,broken clouds
132,San Jeronimo,PE,-11.9472,-75.2829,49.53,81,94,1.54,overcast clouds
133,Touros,BR,-5.1989,-35.4608,75.2,81,64,15.46,broken clouds
134,Novyy Rogachik,RU,48.6768,44.0608,47.3,57,95,6.96,overcast clouds
135,Georgetown,MY,5.4112,100.3354,91.33,60,20,4.61,few clouds
136,Pontes E Lacerda,BR,-15.2261,-59.3353,72.88,84,51,3.87,broken clouds
